274,695,14,0.5,0.4
89,279,11,-0.4,0.4
16,13,14,-0.7,0.7
336,460,13,-0.1,0.4
944,667,7,1.0,0.1
631,358,9,-0.1,0.1
342,24,15,0.7,0.8
888,635,10,-0.5,-0.2
375,104,9,0.2,-0.3
563,35,9,0.5,-0.6
1012,155,10,0.8,-0.4
1204,165,6,-0.5,0.1
1103,717,11,0.2,0.5
408,514,6,-0.1,0.2
1127,16,8,0.4,0.1
129,359,14,0.6,-0.3
711,702,12,1.0,0.4
108,105,7,0.5,0.5
1213,703,10,-0.8,0.1
909,482,10,0.7,0.4
797,25,6,-0.9,1.0
466,807,13,0.4,-0.5
130,207,10,0.5,-0.9
1022,522,8,-0.3,0.2
1214,731,9,0.4,0.6
893,650,15,0.2,-0.3
1099,823,9,-0.2,0.1
1164,310,14,1.0,0.9
833,54,5,0.8,-0.3
128,248,15,-0.2,0.3
994,120,15,1.0,0.6
439,10,5,0.5,0.4
240,285,10,0.6,1.0
567,861,9,1.0,-1.0
551,360,7,-0.1,-0.2
335,657,10,-0.7,0.4
576,850,9,0.2,-0.8
782,15,5,0.5,-0.1
1198,456,6,-0.3,0.4
394,752,12,0.0,0.7
604,326,9,0.8,-1.0
354,203,5,-0.2,-0.4
189,57,12,0.7,-0.3
13,79,14,0.3,-0.2
431,398,15,-1.0,-0.9
889,295,8,0.5,0.9
931,164,9,-0.9,0.3
175,742,6,-0.8,-0.8
1063,892,5,0.1,-1.0
50,286,12,0.7,0.0
1087,332,10,0.0,-0.3
107,894,5,0.0,0.8
286,425,14,0.9,-0.1
1061,225,10,-0.4,0.1
837,469,9,0.2,-0.6
1006,420,8,0.1,0.0
964,306,7,-0.5,-0.2
520,404,7,0.7,0.4
419,316,15,0.1,0.1
710,39,9,-0.5,-0.6
43,208,6,0.6,0.9
1202,834,14,-0.8,0.4
107,70,6,-0.6,-0.1
509,571,5,0.2,0.5
490,242,9,0.5,0.0
936,895,9,-0.3,-0.1
827,179,9,0.6,0.2
207,268,15,0.8,-0.2
912,881,8,-0.9,-0.6
880,872,10,-0.1,0.9
1112,183,6,-1.0,0.0
249,661,7,0.4,-0.3
902,452,14,-0.9,-1.0
205,470,6,0.1,-0.9
906,395,12,1.0,1.0
1161,79,11,-0.3,1.0
1134,8,7,0.4,-0.5
369,265,8,0.7,0.7
147,379,8,-0.6,0.4
269,190,12,0.8,0.2
1184,104,14,0.9,-0.8
9,669,15,-0.6,0.0
271,552,9,-0.5,-0.2
321,100,13,-0.3,0.7
877,153,12,0.5,0.0
266,774,10,-0.3,-0.2
445,79,8,0.4,-0.8
1053,32,9,-1.0,-0.8
838,678,11,-0.3,-0.9
863,570,5,-0.5,-0.1
